film,year,award,winner,name,age,
The Sterile Cuckoo,1970,Best Actress,nominee,Liza Minnelli,24,< 25
"They Shoot Horses, Don't They?",1970,Best Supporting Actor,winner,Gig Young,56,55-65
Anne of the Thousand Days,1970,Best Supporting Actor,nominee,Anthony Quayle,56,55-65
The Reivers,1970,Best Supporting Actor,nominee,Rupert Crosse,42,35-45
Easy Rider,1970,Best Supporting Actor,nominee,Jack Nicholson,32,25-35
Bob & Carol & Ted & Alice,1970,Best Supporting Actor,nominee,Elliott Gould,31,25-35
Cactus Flower,1970,Best Supporting Actress,winner,Goldie Hawn,24,< 25
Midnight Cowboy,1970,Best Supporting Actress,nominee,Sylvia Miles,37,35-45
Bob & Carol & Ted & Alice,1970,Best Supporting Actress,nominee,Dyan Cannon,33,25-35
"They Shoot Horses, Don't They?",1970,Best Supporting Actress,nominee,Susannah York,31,25-35
Last Summer,1970,Best Supporting Actress,nominee,Catherine Burns,24,< 25
Patton,1971,Best Actor,winner,George C. Scott (refused the award),43,35-45
I Never Sang for My Father,1971,Best Actor,nominee,Melvyn Douglas,70,> 65
The Great White Hope,1971,Best Actor,nominee,James Earl Jones,40,35-45
Five Easy Pieces,1971,Best Actor,nominee,Jack Nicholson,34,25-35
Love Story,1971,Best Actor,nominee,Ryan O'Neal,30,25-35
Women in Love,1971,Best Actress,winner,Glenda Jackson,34,25-35
Love Story,1971,Best Actress,nominee,Ali MacGraw,32,25-35
The Great White Hope,1971,Best Actress,nominee,Jane Alexander,31,25-35
Ryan's Daughter,1971,Best Actress,nominee,Sarah Miles,29,25-35
Diary of a Mad Housewife,1971,Best Actress,nominee,Carrie Snodgress,25,25-35
Ryan's Daughter,1971,Best Supporting Actor,winner,John Mills,63,55-65
Little Big Man,1971,Best Supporting Actor,nominee,Chief Dan George,71,> 65
Love Story,1971,Best Supporting Actor,nominee,John Marley,63,55-65
I Never Sang for My Father,1971,Best Supporting Actor,nominee,Gene Hackman,41,35-45
Lovers and Other Strangers,1971,Best Supporting Actor,nominee,Richard Castellano,37,35-45
Airport,1971,Best Supporting Actress,winner,Helen Hayes,70,> 65
Airport,1971,Best Supporting Actress,nominee,Maureen Stapleton,45,45-55
The Landlord,1971,Best Supporting Actress,nominee,Lee Grant,45,45-55
M*A*S*H,1971,Best Supporting Actress,nominee,Sally Kellerman,33,25-35
Five Easy Pieces,1971,Best Supporting Actress,nominee,Karen Black,31,25-35
The French Connection,1972,Best Actor,winner,Gene Hackman,42,35-45
Sunday Bloody Sunday,1972,Best Actor,nominee,Peter Finch,55,55-65
Kotch,1972,Best Actor,nominee,Walter Matthau,51,45-55
The Hospital,1972,Best Actor,nominee,George C. Scott,44,35-45
Fiddler on the Roof,1972,Best Actor,nominee,Topol,36,35-45
Klute,1972,Best Actress,winner,Jane Fonda,34,25-35
Sunday Bloody Sunday,1972,Best Actress,nominee,Glenda Jackson,35,35-45
"Mary, Queen of Scots",1972,Best Actress,nominee,Vanessa Redgrave,35,35-45
Nicholas and Alexandra,1972,Best Actress,nominee,Janet Suzman,33,25-35
Mccabe & Mrs. Miller,1972,Best Actress,nominee,Julie Christie,31,25-35
The Last Picture Show,1972,Best Supporting Actor,winner,Ben Johnson,53,45-55
Sometimes a Great Notion,1972,Best Supporting Actor,nominee,Richard Jaeckel,45,45-55
The French Connection,1972,Best Supporting Actor,nominee,Roy Scheider,39,35-45
Fiddler on the Roof,1972,Best Supporting Actor,nominee,Leonard Frey,33,25-35
The Last Picture Show,1972,Best Supporting Actor,nominee,Jeff Bridges,22,< 25
The Last Picture Show,1972,Best Supporting Actress,winner,Cloris Leachman,45,45-55
The Go-Between,1972,Best Supporting Actress,nominee,Margaret Leighton,50,45-55
The Last Picture Show,1972,Best Supporting Actress,nominee,Ellen Burstyn,39,35-45
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1972,Best Supporting Actress,nominee,Barbara Harris,36,35-45
Carnal Knowledge,1972,Best Supporting Actress,nominee,Ann-Margret,30,25-35
The Godfather,1973,Best Actor,winner,Marlon Brando (refused the award),49,45-55
Sleuth,1973,Best Actor,nominee,Laurence Olivier,65,55-65
The Ruling Class,1973,Best Actor,nominee,Peter O'Toole,40,35-45
Sleuth,1973,Best Actor,nominee,Michael Caine,40,35-45
Sounder,1973,Best Actor,nominee,Paul Winfield,33,25-35
Cabaret,1973,Best Actress,winner,Liza Minnelli,27,25-35
Sounder,1973,Best Actress,nominee,Cicely Tyson,39,35-45
Travels with My Aunt,1973,Best Actress,nominee,Maggie Smith,38,35-45
The Emigrants,1973,Best Actress,nominee,Liv Ullmann,34,25-35
Lady Sings the Blues,1973,Best Actress,nominee,Diana Ross,29,25-35
Cabaret,1973,Best Supporting Actor,winner,Joel Grey,40,35-45
The Heartbreak Kid,1973,Best Supporting Actor,nominee,Eddie Albert,66,> 65
The Godfather,1973,Best Supporting Actor,nominee,Robert Duvall,42,35-45
The Godfather,1973,Best Supporting Actor,nominee,James Caan,33,25-35
The Godfather,1973,Best Supporting Actor,nominee,Al Pacino,32,25-35
Butterflies Are Free,1973,Best Supporting Actress,winner,Eileen Heckart,54,45-55
The Poseidon Adventure,1973,Best Supporting Actress,nominee,Shelley Winters,52,45-55
Pete 'n' Tillie,1973,Best Supporting Actress,nominee,Geraldine Page,48,45-55
Fat City,1973,Best Supporting Actress,nominee,Susan Tyrrell,28,25-35
The Heartbreak Kid,1973,Best Supporting Actress,nominee,Jeannie Berlin,23,< 25
Save the Tiger,1974,Best Actor,winner,Jack Lemmon,49,45-55
Last Tango in Paris,1974,Best Actor,nominee,Marlon Brando,50,45-55
The Sting,1974,Best Actor,nominee,Robert Redford,37,35-45
The Last Detail,1974,Best Actor,nominee,Jack Nicholson,36,35-45
Serpico,1974,Best Actor,nominee,Al Pacino,33,25-35
A Touch of Class,1974,Best Actress,winner,Glenda Jackson,37,35-45
"Summer Wishes, Winter Dreams",1974,Best Actress,nominee,Joanne Woodward,44,35-45
The Exorcist,1974,Best Actress,nominee,Ellen Burstyn,41,35-45
Cinderella Liberty,1974,Best Actress,nominee,Marsha Mason,32,25-35
The Way We Were,1974,Best Actress,nominee,Barbra Streisand,31,25-35
The Paper Chase,1974,Best Supporting Actor,winner,John Houseman,71,> 65
Save the Tiger,1974,Best Supporting Actor,nominee,Jack Gilford,65,55-65
Bang the Drum Slowly,1974,Best Supporting Actor,nominee,Vincent Gardenia,54,45-55
The Exorcist,1974,Best Supporting Actor,nominee,Jason Miller,34,25-35
The Last Detail,1974,Best Supporting Actor,nominee,Randy Quaid,23,< 25
Paper Moon,1974,Best Supporting Actress,winner,Tatum O'Neal,10,< 25
"Summer Wishes, Winter Dreams",1974,Best Supporting Actress,nominee,Sylvia Sidney,63,55-65
Paper Moon,1974,Best Supporting Actress,nominee,Madeline Kahn,31,25-35
American Graffiti,1974,Best Supporting Actress,nominee,Candy Clark,26,25-35
The Exorcist,1974,Best Supporting Actress,nominee,Linda Blair,15,< 25
Harry and Tonto,1975,Best Actor,winner,Art Carney,56,55-65
Murder on the Orient Express,1975,Best Actor,nominee,Albert Finney,38,35-45
Chinatown,1975,Best Actor,nominee,Jack Nicholson,37,35-45
Lenny,1975,Best Actor,nominee,Dustin Hoffman,37,35-45
The Godfather Part II,1975,Best Actor,nominee,Al Pacino,34,25-35
Alice Doesn't Live Here Anymore,1975,Best Actress,winner,Ellen Burstyn,42,35-45
A Woman Under the Influence,1975,Best Actress,nominee,Gena Rowlands,44,35-45
Claudine,1975,Best Actress,nominee,Diahann Carroll,39,35-45
Chinatown,1975,Best Actress,nominee,Faye Dunaway,34,25-35
Lenny,1975,Best Actress,nominee,Valerie Perrine,31,25-35
The Godfather Part II,1975,Best Supporting Actor,winner,Robert De Niro,31,25-35
The Towering Inferno,1975,Best Supporting Actor,nominee,Fred Astaire,75,> 65
The Godfather Part II,1975,Best Supporting Actor,nominee,Lee Strasberg,73,> 65
The Godfather Part II,1975,Best Supporting Actor,nominee,Michael V. Gazzo,52,45-55
Thunderbolt and Lightfoot,1975,Best Supporting Actor,nominee,Jeff Bridges,25,25-35
Murder on the Orient Express,1975,Best Supporting Actress,winner,Ingrid Bergman,59,55-65
Day for Night,1975,Best Supporting Actress,nominee,Valentina Cortese,52,45-55
Alice Doesn't Live Here Anymore,1975,Best Supporting Actress,nominee,Diane Ladd,39,35-45
Blazing Saddles,1975,Best Supporting Actress,nominee,Madeline Kahn,32,25-35
The Godfather Part II,1975,Best Supporting Actress,nominee,Talia Shire,28,25-35
One Flew Over the Cuckoo's Nest,1976,Best Actor,winner,Jack Nicholson,38,35-45
The Sunshine Boys,1976,Best Actor,nominee,Walter Matthau,55,55-65
"Give 'em Hell, Harry!",1976,Best Actor,nominee,James Whitmore,54,45-55
The Man in the Glass Booth,1976,Best Actor,nominee,Maximilian Schell,45,45-55
Dog Day Afternoon,1976,Best Actor,nominee,Al Pacino,35,35-45
One Flew Over the Cuckoo's Nest,1976,Best Actress,winner,Louise Fletcher,41,35-45
Hedda,1976,Best Actress,nominee,Glenda Jackson,39,35-45
Tommy,1976,Best Actress,nominee,Ann-Margret,34,25-35
Hester Street,1976,Best Actress,nominee,Carol Kane,23,< 25
The Story of Adele H.,1976,Best Actress,nominee,Isabelle Adjani,20,< 25
The Sunshine Boys,1976,Best Supporting Actor,winner,George Burns,80,> 65
The Day of the Locust,1976,Best Supporting Actor,nominee,Burgess Meredith,68,> 65
Shampoo,1976,Best Supporting Actor,nominee,Jack Warden,55,55-65
Dog Day Afternoon,1976,Best Supporting Actor,nominee,Chris Sarandon,33,25-35
One Flew Over the Cuckoo's Nest,1976,Best Supporting Actor,nominee,Brad Dourif,26,25-35
Shampoo,1976,Best Supporting Actress,winner,Lee Grant,50,45-55
"Farewell, My Lovely",1976,Best Supporting Actress,nominee,Sylvia Miles,43,35-45
Nashville,1976,Best Supporting Actress,nominee,Lily Tomlin,36,35-45
Jacqueline Susann's Once Is Not Enough,1976,Best Supporting Actress,nominee,Brenda Vaccaro,36,35-45
Nashville,1976,Best Supporting Actress,nominee,Ronee Blakely,30,25-35
Network,1977,Best Actor,winner,Peter Finch,60,55-65
Network,1977,Best Actor,nominee,William Holden,58,55-65
Seven Beauties,1977,Best Actor,nominee,Giancarlo Giannini,34,25-35
Taxi Driver,1977,Best Actor,nominee,Robert De Niro,33,25-35
Rocky,1977,Best Actor,nominee,Sylvester Stallone,30,25-35
Network,1977,Best Actress,winner,Faye Dunaway,36,35-45
Face to Face,1977,Best Actress,nominee,Liv Ullmann,38,35-45
"Cousin, Cousine",1977,Best Actress,nominee,Marie-Christine Barrault,33,25-35
Rocky,1977,Best Actress,nominee,Talia Shire,30,25-35
Carrie,1977,Best Actress,nominee,Sissy Spacek,27,25-35
All the President's Men,1977,Best Supporting Actor,winner,Jason Robards,54,45-55
Marathon Man,1977,Best Supporting Actor,nominee,Laurence Olivier,69,> 65
Rocky,1977,Best Supporting Actor,nominee,Burgess Meredith,69,> 65
Network,1977,Best Supporting Actor,nominee,Ned Beatty,39,35-45
Rocky,1977,Best Supporting Actor,nominee,Burt Young,36,35-45
Network,1977,Best Supporting Actress,winner,Beatrice Straight,62,55-65
Voyage of the Damned,1977,Best Supporting Actress,nominee,Lee Grant,51,45-55
Carrie,1977,Best Supporting Actress,nominee,Piper Laurie,45,45-55
All the President's Men,1977,Best Supporting Actress,nominee,Jane Alexander,37,35-45
Taxi Driver,1977,Best Supporting Actress,nominee,Jodie Foster,14,< 25
The Goodbye Girl,1978,Best Actor,winner,Richard Dreyfuss,30,25-35
A Special Day,1978,Best Actor,nominee,Marcello Mastroianni,53,45-55
Equus,1978,Best Actor,nominee,Richard Burton,52,45-55
Annie Hall,1978,Best Actor,nominee,Woody Allen,42,35-45
Saturday Night Fever,1978,Best Actor,nominee,John Travolta,24,< 25
Annie Hall,1978,Best Actress,winner,Diane Keaton,32,25-35
The Turning Point,1978,Best Actress,nominee,Anne Bancroft,46,45-55
The Turning Point,1978,Best Actress,nominee,Shirley MacLaine,43,35-45
Julia,1978,Best Actress,nominee,Jane Fonda,40,35-45
The Goodbye Girl,1978,Best Actress,nominee,Marsha Mason,36,35-45
Julia,1978,Best Supporting Actor,winner,Jason Robards,55,55-65
Star Wars,1978,Best Supporting Actor,nominee,Alec Guinness,64,55-65
Julia,1978,Best Supporting Actor,nominee,Maximilian Schell,47,45-55
The Turning Point,1978,Best Supporting Actor,nominee,Mikhail Baryshnikov,30,25-35
Equus,1978,Best Supporting Actor,nominee,Peter Firth,24,< 25
Julia,1978,Best Supporting Actress,winner,Vanessa Redgrave,41,35-45
Close Encounters of the Third Kind,1978,Best Supporting Actress,nominee,Melinda Dillon,38,35-45
Looking for Mr. Goodbar,1978,Best Supporting Actress,nominee,Tuesday Weld,34,25-35
The Turning Point,1978,Best Supporting Actress,nominee,Leslie Browne,20,< 25
The Goodbye Girl,1978,Best Supporting Actress,nominee,Quinn Cummings,10,< 25
Coming Home,1979,Best Actor,winner,Jon Voight,40,35-45
The Boys From Brazil,1979,Best Actor,nominee,Laurence Olivier,71,> 65
Heaven Can Wait,1979,Best Actor,nominee,Warren Beatty,42,35-45
The Deer Hunter,1979,Best Actor,nominee,Robert De Niro,35,35-45
The Buddy Holly Story,1979,Best Actor,nominee,Gary Busey,34,25-35
Coming Home,1979,Best Actress,winner,Jane Fonda,41,35-45
Autumn Sonata,1979,Best Actress,nominee,Ingrid Bergman,63,55-65
Interiors,1979,Best Actress,nominee,Geraldine Page,54,45-55
"Same Time, Next Year",1979,Best Actress,nominee,Ellen Burstyn,46,45-55
An Unmarried Woman,1979,Best Actress,nominee,Jill Clayburgh,34,25-35
The Deer Hunter,1979,Best Supporting Actor,winner,Christopher Walken,36,35-45
Comes a Horseman,1979,Best Supporting Actor,nominee,Richard Farnsworth,58,55-65
Heaven Can Wait,1979,Best Supporting Actor,nominee,Jack Warden,58,55-65
Coming Home,1979,Best Supporting Actor,nominee,Bruce Dern,42,35-45
Midnight Express,1979,Best Supporting Actor,nominee,John Hurt,39,35-45
California Suite,1979,Best Supporting Actress,winner,Maggie Smith,44,35-45
Interiors,1979,Best Supporting Actress,nominee,Maureen Stapleton,53,45-55
Heaven Can Wait,1979,Best Supporting Actress,nominee,Dyan Cannon,42,35-45
Coming Home,1979,Best Supporting Actress,nominee,Penelope Milford,31,25-35
The Deer Hunter,1979,Best Supporting Actress,nominee,Meryl Streep,29,25-35
Kramer vs. Kramer,1980,Best Actor,winner,Dustin Hoffman,42,35-45
The China Syndrome,1980,Best Actor,nominee,Jack Lemmon,55,55-65
Being There,1980,Best Actor,nominee,Peter Sellers,54,45-55
All That Jazz,1980,Best Actor,nominee,Roy Scheider,47,45-55
...and Justice for All,1980,Best Actor,nominee,Al Pacino,39,35-45
Norma Rae,1980,Best Actress,winner,Sally Field,33,25-35
The China Syndrome,1980,Best Actress,nominee,Jane Fonda,42,35-45
Chapter Two,1980,Best Actress,nominee,Marsha Mason,38,35-45
Starting Over,1980,Best Actress,nominee,Jill Clayburgh,35,35-45
The Rose,1980,Best Actress,nominee,Bette Midler,34,25-35
Being There,1980,Best Supporting Actor,winner,Melvyn Douglas,79,> 65
The Black Stallion,1980,Best Supporting Actor,nominee,Mickey Rooney,59,55-65
Apocalypse Now,1980,Best Supporting Actor,nominee,Robert Duvall,49,45-55
The Rose,1980,Best Supporting Actor,nominee,Frederic Forrest,43,35-45
Kramer vs. Kramer,1980,Best Supporting Actor,nominee,Justin Henry,8,< 25
Kramer vs. Kramer,1980,Best Supporting Actress,winner,Meryl Streep,30,25-35
Breaking Away,1980,Best Supporting Actress,nominee,Barbara Barrie,48,45-55
Kramer vs. Kramer,1980,Best Supporting Actress,nominee,Jane Alexander,40,35-45
Starting Over,1980,Best Supporting Actress,nominee,Candice Bergen,33,25-35
Manhattan,1980,Best Supporting Actress,nominee,Mariel Hemingway,18,< 25
Raging Bull,1981,Best Actor,winner,Robert De Niro,37,35-45
Tribute,1981,Best Actor,nominee,Jack Lemmon,56,55-65
The Great Santini,1981,Best Actor,nominee,Robert Duvall,50,45-55
The Stunt Man,1981,Best Actor,nominee,Peter O'Toole,48,45-55
The Elephant Man,1981,Best Actor,nominee,John Hurt,41,35-45
Coal Miner's Daughter,1981,Best Actress,winner,Sissy Spacek,31,25-35
Gloria,1981,Best Actress,nominee,Gena Rowlands,50,45-55
Resurrection,1981,Best Actress,nominee,Ellen Burstyn,48,45-55
Ordinary People,1981,Best Actress,nominee,Mary Tyler Moore,44,35-45
Private Benjamin,1981,Best Actress,nominee,Goldie Hawn,35,35-45
Ordinary People,1981,Best Supporting Actor,winner,Timothy Hutton,20,< 25
Melvin and Howard,1981,Best Supporting Actor,nominee,Jason Robards,58,55-65
Ordinary People,1981,Best Supporting Actor,nominee,Judd Hirsch,46,45-55
Raging Bull,1981,Best Supporting Actor,nominee,Joe Pesci,38,35-45
The Great Santini,1981,Best Supporting Actor,nominee,Michael O'Keefe,25,25-35
Melvin and Howard,1981,Best Supporting Actress,winner,Mary Steenburgen,28,25-35
Resurrection,1981,Best Supporting Actress,nominee,Eva Le Gallienne,82,> 65
Private Benjamin,1981,Best Supporting Actress,nominee,Eileen Brennan,48,45-55
Inside Moves,1981,Best Supporting Actress,nominee,Diana Scarwid,25,25-35
Raging Bull,1981,Best Supporting Actress,nominee,Cathy Moriarty,20,< 25
On Golden Pond,1982,Best Actor,winner,Henry Fonda,76,> 65
Atlantic City,1982,Best Actor,nominee,Burt Lancaster,68,> 65
Absence of Malice,1982,Best Actor,nominee,Paul Newman,57,55-65
Arthur,1982,Best Actor,nominee,Dudley Moore,46,45-55
Reds,1982,Best Actor,nominee,Warren Beatty,45,45-55
On Golden Pond,1982,Best Actress,winner,Katharine Hepburn,74,> 65
Only When I Laugh,1982,Best Actress,nominee,Marsha Mason,40,35-45
Reds,1982,Best Actress,nominee,Diane Keaton,36,35-45
Atlantic City,1982,Best Actress,nominee,Susan Sarandon,35,35-45
The French Lieutenant's Woman,1982,Best Actress,nominee,Meryl Streep,32,25-35
Arthur,1982,Best Supporting Actor,winner,John Gielgud,78,> 65
Only When I Laugh,1982,Best Supporting Actor,nominee,James Coco,52,45-55
Chariots of Fire,1982,Best Supporting Actor,nominee,Ian Holm,50,45-55
Reds,1982,Best Supporting Actor,nominee,Jack Nicholson,44,35-45
Ragtime,1982,Best Supporting Actor,nominee,"Howard E. Rollins, Jr.",31,25-35
Reds,1982,Best Supporting Actress,winner,Maureen Stapleton,56,55-65
Only When I Laugh,1982,Best Supporting Actress,nominee,Joan Hackett,48,45-55
On Golden Pond,1982,Best Supporting Actress,nominee,Jane Fonda,44,35-45
Absence of Malice,1982,Best Supporting Actress,nominee,Melinda Dillon,42,35-45
Ragtime,1982,Best Supporting Actress,nominee,Elizabeth McGovern,20,< 25
Gandhi,1983,Best Actor,winner,Ben Kingsley,39,35-45
The Verdict,1983,Best Actor,nominee,Paul Newman,58,55-65
Missing,1983,Best Actor,nominee,Jack Lemmon,58,55-65
My Favorite Year,1983,Best Actor,nominee,Peter O'Toole,50,45-55
Tootsie,1983,Best Actor,nominee,Dustin Hoffman,45,45-55
Sophie's Choice,1983,Best Actress,winner,Meryl Streep,33,25-35
Victor/Victoria,1983,Best Actress,nominee,Julie Andrews,47,45-55
Frances,1983,Best Actress,nominee,Jessica Lange,33,25-35
Missing,1983,Best Actress,nominee,Sissy Spacek,33,25-35
An Officer and a Gentleman,1983,Best Actress,nominee,Debra Winger,27,25-35
An Officer and a Gentleman,1983,Best Supporting Actor,winner,"Louis Gossett, Jr.",46,45-55
The Verdict,1983,Best Supporting Actor,nominee,James Mason,73,> 65
Victor/Victoria,1983,Best Supporting Actor,nominee,Robert Preston,64,55-65
The Best Little Whorehouse in Texas,1983,Best Supporting Actor,nominee,Charles Durning,60,55-65
The World According to Garp,1983,Best Supporting Actor,nominee,John Lithgow,37,35-45
Tootsie,1983,Best Supporting Actress,winner,Jessica Lange,33,25-35
Frances,1983,Best Supporting Actress,nominee,Kim Stanley,58,55-65
Tootsie,1983,Best Supporting Actress,nominee,Teri Garr,38,35-45
Victor/Victoria,1983,Best Supporting Actress,nominee,Lesley Ann Warren,36,35-45
The World According to Garp,1983,Best Supporting Actress,nominee,Glenn Close,36,35-45
Tender Mercies,1984,Best Actor,winner,Robert Duvall,53,45-55
Educating Rita,1984,Best Actor,nominee,Michael Caine,51,45-55
The Dresser,1984,Best Actor,nominee,Albert Finney,47,45-55
The Dresser,1984,Best Actor,nominee,Tom Courtenay,47,45-55
"Reuben, Reuben",1984,Best Actor,nominee,Tom Conti,42,35-45
Terms of Endearment,1984,Best Actress,winner,Shirley MacLaine,49,45-55
Testament,1984,Best Actress,nominee,Jane Alexander,44,35-45
Silkwood,1984,Best Actress,nominee,Meryl Streep,34,25-35
Educating Rita,1984,Best Actress,nominee,Julie Walters,34,25-35
Terms of Endearment,1984,Best Actress,nominee,Debra Winger,28,25-35
Terms of Endearment,1984,Best Supporting Actor,winner,Jack Nicholson,46,45-55
To Be or Not to Be,1984,Best Supporting Actor,nominee,Charles Durning,61,55-65
Cross Creek,1984,Best Supporting Actor,nominee,Rip Torn,53,45-55
The Right Stuff,1984,Best Supporting Actor,nominee,Sam Shepard,40,35-45
Terms of Endearment,1984,Best Supporting Actor,nominee,John Lithgow,38,35-45
The Year of Living Dangerously,1984,Best Supporting Actress,winner,Linda Hunt,39,35-45
Silkwood,1984,Best Supporting Actress,nominee,Cher,37,35-45
The Big Chill,1984,Best Supporting Actress,nominee,Glenn Close,37,35-45
Cross Creek,1984,Best Supporting Actress,nominee,Alfre Woodard,31,25-35
Yentl,1984,Best Supporting Actress,nominee,Amy Irving,30,25-35
Amadeus,1985,Best Actor,winner,F. Murray Abraham,45,45-55
Under the Volcano,1985,Best Actor,nominee,Albert Finney,48,45-55
The Killing Fields,1985,Best Actor,nominee,Sam Waterston,44,35-45
Starman,1985,Best Actor,nominee,Jeff Bridges,35,35-45
Amadeus,1985,Best Actor,nominee,Tom Hulce,31,25-35
Places in the Heart,1985,Best Actress,winner,Sally Field,38,35-45
The Bostonians,1985,Best Actress,nominee,Vanessa Redgrave,48,45-55
Country,1985,Best Actress,nominee,Jessica Lange,35,35-45
The River,1985,Best Actress,nominee,Sissy Spacek,35,35-45
A Passage to India,1985,Best Actress,nominee,Judy Davis,29,25-35
The Killing Fields,1985,Best Supporting Actor,winner,Haing S. Ngor,45,45-55
"Greystoke: The Legend of Tarzan, Lord of the Apes",1985,Best Supporting Actor,nominee,Ralph Richardson,82,> 65
The Karate Kid,1985,Best Supporting Actor,nominee,Noriyuki 'Pat' Morita,52,45-55
A Soldier's Story,1985,Best Supporting Actor,nominee,Adolph Caesar,51,45-55
Places in the Heart,1985,Best Supporting Actor,nominee,John Malkovich,31,25-35
A Passage to India,1985,Best Supporting Actress,winner,Peggy Ashcroft,77,> 65
The Pope of Greenwich Village,1985,Best Supporting Actress,nominee,Geraldine Page,60,55-65
The Natural,1985,Best Supporting Actress,nominee,Glenn Close,38,35-45
Places in the Heart,1985,Best Supporting Actress,nominee,Lindsay Crouse,36,35-45
Swing Shift,1985,Best Supporting Actress,nominee,Christine Lahti,34,25-35
Kiss of the Spider Woman,1986,Best Actor,winner,William Hurt,36,35-45
Murphy's Romance,1986,Best Actor,nominee,James Garner,58,55-65
Prizzi's Honor,1986,Best Actor,nominee,Jack Nicholson,48,45-55
Runaway Train,1986,Best Actor,nominee,Jon Voight,47,45-55
Witness,1986,Best Actor,nominee,Harrison Ford,43,35-45
The Trip to Bountiful,1986,Best Actress,winner,Geraldine Page,61,55-65
Agnes of God,1986,Best Actress,nominee,Anne Bancroft,54,45-55
Sweet Dreams,1986,Best Actress,nominee,Jessica Lange,36,35-45
Out of Africa,1986,Best Actress,nominee,Meryl Streep,36,35-45
The Color Purple,1986,Best Actress,nominee,Whoopi Goldberg,30,25-35
Cocoon,1986,Best Supporting Actor,winner,Don Ameche,77,> 65
Prizzi's Honor,1986,Best Supporting Actor,nominee,William Hickey,58,55-65
Jagged Edge,1986,Best Supporting Actor,nominee,Robert Loggia,56,55-65
Out of Africa,1986,Best Supporting Actor,nominee,Klaus Maria Brandauer,42,35-45
Runaway Train,1986,Best Supporting Actor,nominee,Eric Roberts,29,25-35
Prizzi's Honor,1986,Best Supporting Actress,winner,Anjelica Huston,34,25-35
The Color Purple,1986,Best Supporting Actress,nominee,Margaret Avery,42,35-45
Twice in a Lifetime,1986,Best Supporting Actress,nominee,Amy Madigan,35,35-45
The Color Purple,1986,Best Supporting Actress,nominee,Oprah Winfrey,32,25-35
Agnes of God,1986,Best Supporting Actress,nominee,Meg Tilly,26,25-35
The Color of Money,1987,Best Actor,winner,Paul Newman,62,55-65
'Round Midnight,1987,Best Actor,nominee,Dexter Gordon,64,55-65
Mona Lisa,1987,Best Actor,nominee,Bob Hoskins,44,35-45
Salvador,1987,Best Actor,nominee,James Woods,39,35-45
Children of a Lesser God,1987,Best Actor,nominee,William Hurt,37,35-45
Children of a Lesser God,1987,Best Actress,winner,Marlee Matlin,21,< 25
The Morning After,1987,Best Actress,nominee,Jane Fonda,49,45-55
Aliens,1987,Best Actress,nominee,Sigourney Weaver,37,35-45
Crimes of the Heart,1987,Best Actress,nominee,Sissy Spacek,37,35-45
Peggy Sue Got Married,1987,Best Actress,nominee,Kathleen Turner,32,25-35
Hannah and Her Sisters,1987,Best Supporting Actor,winner,Michael Caine,54,45-55
A Room with a View,1987,Best Supporting Actor,nominee,Denholm Elliott,64,55-65
Hoosiers,1987,Best Supporting Actor,nominee,Dennis Hopper,50,45-55
Platoon,1987,Best Supporting Actor,nominee,Tom Berenger,37,35-45
Platoon,1987,Best Supporting Actor,nominee,Willem Dafoe,31,25-35
Hannah and Her Sisters,1987,Best Supporting Actress,winner,Dianne Wiest,39,35-45
Children of a Lesser God,1987,Best Supporting Actress,nominee,Piper Laurie,55,55-65
A Room with a View,1987,Best Supporting Actress,nominee,Maggie Smith,52,45-55
Crimes of the Heart,1987,Best Supporting Actress,nominee,Tess Harper,36,35-45
The Color of Money,1987,Best Supporting Actress,nominee,Mary Elizabeth Mastrantonio,28,25-35
Wall Street,1988,Best Actor,winner,Michael Douglas,43,35-45
Dark Eyes,1988,Best Actor,nominee,Marcello Mastroianni,63,55-65
Ironweed,1988,Best Actor,nominee,Jack Nicholson,51,45-55
Broadcast News,1988,Best Actor,nominee,William Hurt,38,35-45
"Good Morning, Vietnam",1988,Best Actor,nominee,Robin Williams,36,35-45
Moonstruck,1988,Best Actress,winner,Cher,41,35-45
Anna,1988,Best Actress,nominee,Sally Kirkland,46,45-55
Fatal Attraction,1988,Best Actress,nominee,Glenn Close,41,35-45
Ironweed,1988,Best Actress,nominee,Meryl Streep,38,35-45
Broadcast News,1988,Best Actress,nominee,Holly Hunter,30,25-35
The Untouchables,1988,Best Supporting Actor,winner,Sean Connery,57,55-65
Moonstruck,1988,Best Supporting Actor,nominee,Vincent Gardenia,68,> 65
Street Smart,1988,Best Supporting Actor,nominee,Morgan Freeman,50,45-55
Broadcast News,1988,Best Supporting Actor,nominee,Albert Brooks,40,35-45
Cry Freedom,1988,Best Supporting Actor,nominee,Denzel Washington,33,25-35
Moonstruck,1988,Best Supporting Actress,winner,Olympia Dukakis,56,55-65
The Whales of August,1988,Best Supporting Actress,nominee,Ann Sothern,79,> 65
Throw Momma From the Train,1988,Best Supporting Actress,nominee,Anne Ramsey,59,55-65
Gaby - A True Story,1988,Best Supporting Actress,nominee,Norma Aleandro,51,45-55
Fatal Attraction,1988,Best Supporting Actress,nominee,Anne Archer,40,35-45
Rain Man,1989,Best Actor,winner,Dustin Hoffman,51,45-55
Pelle the Conqueror,1989,Best Actor,nominee,Max von Sydow,60,55-65
